Date : 2024-10-16 23:27:42
Directory : c:\xampp\htdocs\Raccoon_TODOECHO
Total : 245 files,  26593 codes, 7434 comments, 3567 blanks, all 37594 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| config\libs\FPDF (Files)                                                                               |          4 |      2,118 |        167 |        128 |      2,413 |
| config\libs\FPDF\doc                                                                                   |         49 |      1,934 |          0 |         55 |      1,989 |
| config\libs\FPDF\font                                                                                  |         14 |        248 |          0 |         14 |        262 |
| config\libs\FPDF\makefont                                                                              |          2 |      1,049 |         44 |         70 |      1,163 |
| config\libs\FPDF\tutorial                                                                              |         17 |      1,255 |         77 |         93 |      1,425 |
| config\libs\PHPMailer                                                                                  |         68 |      5,693 |      3,388 |        917 |      9,998 |
| config\libs\PHPMailer (Files)                                                                          |          4 |        384 |         48 |        102 |        534 |
| config\libs\PHPMailer\language                                                                         |         57 |      1,256 |        336 |        171 |      1,763 |
| config\libs\PHPMailer\src                                                                              |          7 |      4,053 |      3,004 |        644 |      7,701 |
| config\libs\TCPDF                                                                                      |         33 |      8,398 |      3,149 |      1,302 |     12,849 |
| config\libs\TCPDF (Files)                                                                              |          8 |        488 |         59 |        153 |        700 |
| config\libs\TCPDF\.github                                                                              |          5 |        108 |          2 |         28 |        138 |
| config\libs\TCPDF\.github (Files)                                                                      |          2 |         19 |          0 |          9 |         28 |
| config\libs\TCPDF\.github\ISSUE_TEMPLATE                                                               |          2 |         37 |          0 |         14 |         51 |
| config\libs\TCPDF\.github\workflows                                                                    |          1 |         52 |          2 |          5 |         59 |
| config\libs\TCPDF\examples                                                                             |          4 |      3,067 |        155 |        313 |      3,535 |
| config\libs\TCPDF\examples (Files)                                                                     |          1 |      1,185 |        154 |        309 |      1,648 |
| config\libs\TCPDF\examples\images                                                                      |          3 |      1,882 |          1 |          4 |      1,887 |
| config\libs\TCPDF\resources                                                                            |          2 |         15 |         15 |          2 |         32 |
| config\libs\TCPDF\resources (Files)                                                                    |          1 |         15 |         15 |          1 |         31 |
| config\libs\TCPDF\resources\etc                                                                        |          1 |          0 |          0 |          1 |          1 |
| config\libs\TCPDF\resources\etc\php-tecnickcom-tc-lib-pdf                                              |          1 |          0 |          0 |          1 |          1 |
| config\libs\TCPDF\src                                                                                  |         12 |      4,681 |      2,867 |        793 |      8,341 |
| config\libs\TCPDF\test                                                                                 |          2 |         39 |         51 |         13 |        103 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                               | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_producto.js                  | JavaScript |        143 |         11 |         15 |        169 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_sucursal.js                  | JavaScript |        155 |          6 |         18 |        179 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_suscripcion.js               | JavaScript |         22 |        106 |         16 |        144 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_usuario.js                   | JavaScript |        158 |          7 |         13 |        178 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Estilos\admin1.css                              | CSS        |        102 |          2 |         23 |        127 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_paga.php                           | PHP        |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_producto.php                       | PHP        |         74 |          4 |         13 |         91 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_sucursal.php                       | PHP        |         93 |         10 |         17 |        120 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_suscripcion.php                    | PHP        |         49 |         61 |         15 |        125 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_usuario.php                        | PHP        |         91 |          7 |         14 |        112 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\admin.php                                | PHP        |         93 |          0 |          4 |         97 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_productos.php                    | PHP        |        234 |          1 |         24 |        259 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_sucursales.php                   | PHP        |        240 |          1 |         23 |        264 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_suscripciones.html               | HTML       |        287 |          5 |         51 |        343 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_usuarios.php                     | PHP        |        252 |          1 |         28 |        281 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Cdashboard.html                                    | HTML       |         37 |          2 |          5 |         44 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\redireccion_s.js                       | JavaScript |          0 |          1 |          1 |          2 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcion.css                        | CSS        |        220 |         10 |         51 |        281 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionC.js                        | JavaScript |         29 |         79 |         12 |        120 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionM.php                       | PHP        |         21 |         49 |         25 |         95 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionV.html                      | HTML       |        126 |         12 |         34 |        172 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionV.js                        | JavaScript |         78 |         39 |         27 |        144 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\cliente.css                                        | CSS        |         50 |          6 |          7 |         63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\cliente.php                                        | PHP        |         27 |          1 |          5 |         33 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Entrenador\entrenador.css                                  | CSS        |         50 |          6 |          7 |         63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Entrenador\entrenador.php                                  | PHP        |         27 |          1 |          5 |         33 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Actividades\actividades.css                                     | CSS        |        179 |          5 |         38 |        222 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Actividades\actividadesV.html                                   | HTML       |        141 |          4 |         35 |        180 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Actividades\actividadesV.js                                     | JavaScript |        110 |         24 |         36 |        170 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Entrenadores\entrenadoresV.html                                 | HTML       |         35 |          5 |         11 |         51 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landing.css                                             | CSS        |        476 |          8 |         91 |        575 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingC.js                                             | JavaScript |         29 |          3 |          3 |         35 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingM.php                                            | PHP        |         15 |          2 |          6 |         23 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.html                                           | HTML       |        263 |         11 |         37 |        311 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.js                                             | JavaScript |         77 |         39 |         31 |        147 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbar.css                                               | CSS        |         96 |          6 |         25 |        127 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbar.html                                              | HTML       |         33 |          2 |         11 |         46 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Navbar\navbarV.js                                               | JavaScript |         22 |          4 |         16 |         42 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Productos\Productos.css                                         | CSS        |        253 |          0 |         12 |        265 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Productos\ProductosV.html                                       | HTML       |        104 |          8 |          5 |        117 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Productos\ProductosV.js                                         | JavaScript |        334 |          4 |         41 |        379 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Login\loginM.php                                                | PHP        |         35 |          5 |          7 |         47 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroC.js                                           | JavaScript |         89 |         10 |         22 |        121 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroM.php                                          | PHP        |         33 |          6 |          8 |         47 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\Sesiones\logout.php                                             | PHP        |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\formulario.css                                                  | CSS        |        214 |         11 |         41 |        266 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.html                                                | HTML       |         60 |          4 |         14 |         78 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.js                                                  | JavaScript |         88 |          6 |         14 |        108 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Users\redireccion.js                                                  | JavaScript |         54 |          2 |         10 |         66 |
| c:\xampp\htdocs\Raccoon_TODOECHO\assets\img\BITnessGYM_map.svg                                         | XML        |        155 |          1 |          2 |        158 |
| c:\xampp\htdocs\Raccoon_TODOECHO\assets\img\BITnessGYM_map_hover.svg                                   | XML        |        155 |          1 |          2 |        158 |
| c:\xampp\htdocs\Raccoon_TODOECHO\composer.json                                                         | JSON       |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\Raccoon_TODOECHO\composer.lock                                                         | JSON       |         78 |          0 |          1 |         79 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\conexion.php                                                   | PHP        |         13 |          1 |          2 |         16 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\global.css                                                     | CSS        |         46 |          7 |          9 |         62 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\jquery-3.7.1.min.js                                            | JavaScript |          1 |          1 |          1 |          3 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\FAQ.htm                                              | HTML       |        238 |          0 |         29 |        267 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\changelog.htm                                        | HTML       |        188 |          0 |          1 |        189 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\__construct.htm                                  | HTML       |         62 |          0 |          1 |         63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\acceptpagebreak.htm                              | HTML       |         59 |          0 |          4 |         63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\addfont.htm                                      | HTML       |         66 |          0 |          1 |         67 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\addlink.htm                                      | HTML       |         24 |          0 |          1 |         25 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\addpage.htm                                      | HTML       |         57 |          0 |          1 |         58 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\aliasnbpages.htm                                 | HTML       |         43 |          0 |          2 |         45 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\cell.htm                                         | HTML       |        101 |          0 |          1 |        102 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\close.htm                                        | HTML       |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\error.htm                                        | HTML       |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\footer.htm                                       | HTML       |         35 |          0 |          1 |         36 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\getpageheight.htm                                | HTML       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\getpagewidth.htm                                 | HTML       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\getstringwidth.htm                               | HTML       |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\getx.htm                                         | HTML       |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\gety.htm                                         | HTML       |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\header.htm                                       | HTML       |         35 |          0 |          1 |         36 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\image.htm                                        | HTML       |        101 |          0 |          1 |        102 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\index.htm                                        | HTML       |         59 |          0 |          1 |         60 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\line.htm                                         | HTML       |         38 |          0 |          1 |         39 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\link.htm                                         | HTML       |         45 |          0 |          1 |         46 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\ln.htm                                           | HTML       |         27 |          0 |          2 |         29 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\multicell.htm                                    | HTML       |         73 |          0 |          1 |         74 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\output.htm                                       | HTML       |         47 |          0 |          1 |         48 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\pageno.htm                                       | HTML       |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\rect.htm                                         | HTML       |         48 |          0 |          1 |         49 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setauthor.htm                                    | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setautopagebreak.htm                             | HTML       |         31 |          0 |          1 |         32 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setcompression.htm                               | HTML       |         29 |          0 |          1 |         30 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setcreator.htm                                   | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setdisplaymode.htm                               | HTML       |         46 |          0 |          1 |         47 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setdrawcolor.htm                                 | HTML       |         41 |          0 |          2 |         43 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setfillcolor.htm                                 | HTML       |         40 |          0 |          1 |         41 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setfont.htm                                      | HTML       |         72 |          0 |          1 |         73 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setfontsize.htm                                  | HTML       |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setkeywords.htm                                  | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setleftmargin.htm                                | HTML       |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setlinewidth.htm                                 | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setlink.htm                                      | HTML       |         34 |          0 |          1 |         35 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setmargins.htm                                   | HTML       |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setrightmargin.htm                               | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setsubject.htm                                   | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\settextcolor.htm                                 | HTML       |         39 |          0 |          1 |         40 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\settitle.htm                                     | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\settopmargin.htm                                 | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setx.htm                                         | HTML       |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\setxy.htm                                        | HTML       |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\sety.htm                                         | HTML       |         33 |          0 |          1 |         34 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\text.htm                                         | HTML       |         37 |          0 |          1 |         38 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\doc\write.htm                                        | HTML       |         50 |          0 |          1 |         51 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\courier.php                                     | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\courierb.php                                    | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\courierbi.php                                   | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\courieri.php                                    | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\helvetica.php                                   | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\helveticab.php                                  | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\helveticabi.php                                 | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\helveticai.php                                  | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\symbol.php                                      | PHP        |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\times.php                                       | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\timesb.php                                      | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\timesbi.php                                     | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\timesi.php                                      | PHP        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\font\zapfdingbats.php                                | PHP        |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\fpdf.css                                             | CSS        |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\fpdf.php                                             | PHP        |      1,671 |        167 |         97 |      1,935 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\makefont\makefont.php                                | PHP        |        401 |         23 |         24 |        448 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\makefont\ttfparser.php                               | PHP        |        648 |         21 |         46 |        715 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\CevicheOne-Regular.php                      | PHP        |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\index.htm                                   | HTML       |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\makefont.php                                | PHP        |          4 |          1 |          2 |          7 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto1.htm                                   | HTML       |         79 |          0 |          2 |         81 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto1.php                                   | PHP        |          8 |          0 |          2 |         10 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto2.htm                                   | HTML       |         81 |          0 |          4 |         85 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto2.php                                   | PHP        |         27 |         11 |          4 |         42 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto3.htm                                   | HTML       |        109 |          0 |          8 |        117 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto3.php                                   | PHP        |         55 |         19 |          8 |         82 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto4.htm                                   | HTML       |        122 |          0 |         11 |        133 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto4.php                                   | PHP        |         81 |         18 |         11 |        110 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto5.htm                                   | HTML       |        132 |          0 |          6 |        138 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto5.php                                   | PHP        |         79 |         18 |          6 |        103 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto6.htm                                   | HTML       |        151 |          0 |          9 |        160 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto6.php                                   | PHP        |         95 |         10 |          9 |        114 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto7.htm                                   | HTML       |        178 |          0 |          7 |        185 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\FPDF\tutorial\tuto7.php                                   | PHP        |          9 |          0 |          2 |         11 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\README.md                                       | Markdown   |        168 |          0 |         64 |        232 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\SECURITY.md                                     | Markdown   |         19 |          0 |         19 |         38 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\composer.json                                   | JSON       |         80 |          0 |          1 |         81 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\get_oauth_token.php                             | PHP        |        117 |         48 |         18 |        183 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-af.php                  | PHP        |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-ar.php                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-as.php                  | PHP        |         28 |          5 |          3 |         36 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-az.php                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-ba.php                  | PHP        |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-be.php                  | PHP        |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\Raccoon_TODOECHO\config\libs\PHPMailer\language\phpmailer.lang-bg.php                  | PHP        |         20 |          5 |          3 |         28 |
